id,preg_rate,chlamydia_rate,child_poverty_rate,adherents_rate,women_uninsured_rate,obesity_rate,hs_grad_rate,single_parent_rate,feature_risk_rate,preg_rate_index,chlamydia_rate_index,child_poverty_rate_index,adherents_rate_index,women_uninsured_rate_index,feature_risk_rate_index,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals,civil_war
1077,40,314,25,58.3,24,30,71,8,0,3,6,6,6,5,4,"rgb(158,202,225)","rgb(91,114,20)","rgb(187,96,33)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1079,56,309,22,52.2,0,32,73,9,0,6,6,5,4,2,4,"rgb(33,113,181)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,156,166)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1081,27,448,19,40.6,0,30,68,11,0,1,7,4,2,2,4,"rgb(222,235,247)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,188,200)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1083,58,276,17,52,32,28,70,7,0,6,6,3,4,7,4,"rgb(33,113,181)","rgb(91,114,20)","rgb(129,66,23)","rgb(0,219,234)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1085,72,1097,43,55,27,40,47,15,1,7,8,8,5,6,8,"rgb(8,81,156)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(104,25,142)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1087,36,991,38,44.7,0,40,58,13,0,2,8,8,3,2,4,"rgb(198,219,239)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1089,37,393,16,50.4,0,31,72,10,0,2,7,2,4,2,4,"rgb(198,219,239)","rgb(68,85,15)","rgb(227,149,95)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1091,55,939,28,77.3,26,37,67,13,1,5,8,7,8,6,8,"rgb(66,146,198)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,92,98)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1093,64,156,30,61.2,0,29,70,9,0,7,3,7,6,2,4,"rgb(8,81,156)","rgb(161,200,36)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1095,91,173,30,65.5,0,27,58,10,0,8,4,7,7,2,4,"rgb(8,48,107)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
